Measurer_Initials,Site_Code,Sex,Nose-To-Wing-Tip-(mm),%IP-5KM
RM,A1,F,26,62
RM,A1,M,21,61
RM,A1,F,27,61
RM,A1,M,22,61
RM,A10,M,21,31
RM,A10,F,25,31
RM,A10,F,27,31
RM,A10,F,26,31
RM,A10,M,23,31
RM,A10,F,27,31
RM,A10,M,22,31
RM,A10,F,26,31
RM,A10,F,27,31
RM,A10,M,22,31
RM,A10,F,27,31
RM,A10,M,22,31
RM,A10,F,26,31
RM,A10,F,26,31
RM,A10,M,21,31
RM,A10,F,26,31
RM,A10,M,21,31
RM,A10,F,26,31
RM,A10,F,24,31
RM,A10,F,26,31
RM,A10,F,28,31
RM,A10,F,22,31
RM,A10,F,26,31
RM,A10,F,26,31
RM,A10,F,25,31
RM,A10,F,26,31
RM,A10,M,22,31
RM,A10,F,28,31
RM,A10,F,25,31
RM,A10,F,26,31
RM,A10,M,22,31
RM,A10,M,22,31
RM,A17,F,26,42
RM,A17,F,25,42
RM,A17,F,23,42
RM,A18,M,21,43
RM,A19,M,20,17
RM,A19,F,27,17
RM,A19,F,26,17
RM,A19,F,26,17
RM,A19,M,21,17
RM,A19,F,24,17
RM,A19,F,21,17
RM,A19,F,24,17
RM,A19,F,26,17
RM,A19,M,20,17
RM,A19,M,20,17
RM,A19,F,25,17
RM,A19,F,26,17
RM,A19,F,26,17
RM,A19,M,20,17
RM,A19,M,21,17
RM,A19,F,23,17
RM,A19,M,23,17
RM,A19,F,24,17
RM,A19,F,26,17
RM,A19,F,26,17
RM,A19,F,25,17
RM,A19,M,21,17
RM,A19,F,25,17
RM,A19,M,21,17
RM,A19,M,22,17
RM,A19,M,20,17
RM,A19,F,25,17
RM,A19,F,24,17
RM,A19,M,22,17
RM,A19,F,26,17
RM,A19,F,26,17
RM,A19,M,20,17
RM,A19,M,21,17
RM,A19,F,24,17
RM,A19,M,21,17
RM,A19,M,23,17
RM,A19,M,19,17
RM,A19,F,24,17
RM,A19,M,22,17
RM,A19,F,25,17
RM,A19,F,24,17
RM,A19,F,24,17
RM,A19,F,25,17
RM,A19,M,21,17
RM,A19,F,25,17
RM,A19,M,20,17
RM,A19,F,25,17
RM,A19,F,24,17
RM,A19,M,22,17
RM,A19,M,20,17
RM,A19,M,22,17
RM,A19,M,21,17
RM,A19,M,21,17
RM,A19,M,22,17
RM,A19,F,25,17
RM,A19,F,21,17
RM,A19,M,22,17
RM,A19,M,22,17
RM,A19,M,22,17
RM,A19,M,19,17
RM,A19,F,26,17
RM,A19,F,25,17
RM,A19,F,26,17
RM,A19,F,26,17
RM,A19,M,20,17
RM,A20,M,22,17
RM,A20,M,21,17
RM,A20,M,19,17
RM,A20,F,24,17
RM,A20,F,25,17
RM,A20,F,26,17
RM,A20,M,21,17
RM,A20,F,25,17
RM,A20,M,23,17
RM,A20,F,26,17
RM,A20,F,24,17
RM,A20,F,25,17
RM,A20,F,25,17
RM,A20,M,21,17
RM,A20,F,25,17
RM,A20,M,21,17
RM,A20,M,21,17
RM,A20,M,21,17
RM,A20,M,20,17
RM,A20,F,26,17
RM,A20,M,22,17
RM,A20,F,27,17
RM,A20,F,26,17
RM,A20,F,25,17
RM,A20,M,22,17
RM,A20,F,25,17
RM,A20,M,20,17
RM,A20,M,20,17
RM,A20,M,20,17
RM,A20,F,25,17
RM,A20,M,20,17
RM,A20,M,22,17
RM,A20,F,25,17
RM,A20,M,23,17
RM,A20,F,26,17
RM,A20,M,21,17
RM,A20,M,23,17
RM,A20,M,21,17
RM,A20,M,22,17
RM,A20,F,25,17
RM,A20,F,26,17
RM,A20,F,25,17
RM,A20,M,21,17
RM,A20,F,27,17
RM,A20,M,22,17
RM,A20,M,22,17
RM,A20,M,21,17
RM,A20,F,24,17
RM,A20,F,26,17
RM,A20,F,24,17
RM,A20,F,25,17
RM,A20,M,21,17
RM,A20,M,22,17
RM,A20,M,22,17
RM,A20,M,21,17
RM,A20,F,26,17
RM,A20,M,21,17
RM,A20,F,26,17
RM,A20,M,20,17
RM,A20,M,21,17
RM,A20,M,25,17
RM,A20,M,20,17
RM,A20,M,21,17
RM,A20,M,20,17
RM,A20,M,20,17
RM,A20,F,24,17
RM,A20,M,20,17
RM,A20,M,21,17
RM,A20,M,21,17
RM,A20,M,20,17
RM,A20,M,21,17
RM,A20,F,24,17
RM,A20,M,21,17
RM,A21,M,22,32
RM,A21,M,21,32
RM,A21,M,21,32
RM,A21,M,21,32
RM,A21,F,26,32
RM,A21,M,22,32
RM,A21,M,22,32
RM,A21,F,24,32
RM,A21,M,21,32
RM,A21,F,26,32
RM,A21,F,25,32
RM,A21,M,21,32
RM,A21,M,21,32
RM,A21,F,27,32
RM,A21,F,28,32
RM,A21,M,23,32
RM,A21,M,20,32
RM,A21,F,24,32
RM,A21,F,26,32
RM,A22,F,26,22
RM,A22,M,23,22
AM,A23,F,26,22
AM,A23,F,27,22
AM,A23,F,27,22
AM,A23,M,22,22
AM,A23,F,27,22
AM,A23,M,21,22
AM,A23,M,22,22
AM,A23,M,20,22
AM,A23,F,25,22
AM,A23,F,26,22
AM,A23,M,21,22
AM,A23,F,26,22
AM,A23,F,28,22
AM,A23,F,26,22
AM,A23,M,21,22
AM,A23,F,27,22
AM,A23,F,24,22
AM,A23,M,20,22
AM,A23,M,23,22
AM,A23,M,20,22
AM,A23,F,26,22
AM,A23,F,28,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,F,25,22
AM,A23,F,28,22
AM,A23,M,21,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,F,27,22
AM,A23,M,22,22
AM,A23,M,20,22
AM,A23,M,21,22
AM,A23,F,25,22
AM,A23,M,20,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,F,25,22
AM,A23,M,21,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,M,22,22
AM,A23,F,25,22
AM,A23,F,26,22
AM,A23,F,25,22
AM,A23,F,26,22
AM,A23,F,25,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,F,27,22
AM,A23,F,24,22
AM,A23,F,27,22
AM,A23,M,21,22
AM,A23,F,27,22
AM,A23,F,25,22
AM,A23,M,21,22
AM,A23,M,23,22
AM,A23,F,25,22
AM,A23,F,26,22
AM,A23,M,23,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,F,25,22
AM,A23,F,27,22
AM,A23,M,21,22
AM,A23,M,22,22
AM,A23,M,23,22
AM,A23,F,26,22
AM,A23,F,28,22
AM,A23,M,24,22
AM,A23,F,26,22
AM,A23,F,27,22
AM,A23,M,22,22
AM,A23,M,21,22
AM,A23,F,26,22
AM,A23,M,23,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,M,23,22
AM,A23,M,22,22
AM,A23,M,22,22
AM,A23,M,23,22
AM,A23,F,25,22
AM,A23,M,22,22
AM,A23,M,21,22
AM,A23,F,25,22
AM,A23,F,27,22
AM,A23,F,26,22
AM,A23,M,20,22
AM,A23,F,25,22
AM,A23,M,21,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,M,21,22
AM,A23,M,21,22
AM,A23,M,21,22
AM,A23,F,23,22
AM,A23,F,26,22
AM,A23,M,19,22
AM,A23,M,20,22
AM,A23,F,27,22
AM,A23,M,21,22
AM,A23,F,25,22
AM,A23,M,21,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,F,26,22
AM,A23,M,21,22
AM,A23,M,22,22
AM,A23,M,21,22
AM,A23,M,21,22
AM,A23,M,24,22
AM,A23,M,21,22
AM,A23,M,21,22
AM,A23,M,23,22
AM,A23,M,21,22
AM,A23,M,22,22
AM,A23,M,20,22
AM,A23,M,20,22
AM,A23,F,26,22
AM,A23,M,22,22
AM,A23,M,21,22
AM,A23,M,21,22
AM,A23,M,21,22
RM,A3,M,20,61
RM,A3,F,25,61
RM,A3,M,21,61
RM,A3,F,25,61
RM,A4,F,25,46
RM,A4,F,24,46
RM,A5,F,26,2
RM,A5,M,19,2
RM,A5,F,24,2
RM,A5,M,21,2
RM,A5,F,26,2
RM,A5,F,26,2
RM,A5,M,22,2
RM,A5,F,25,2
RM,A5,F,23,2
RM,A5,F,24,2
RM,A5,F,25,2
RM,A5,F,25,2
RM,A5,F,26,2
RM,A5,F,26,2
RM,A5,F,24,2
RM,A5,F,26,2
RM,A5,F,27,2
RM,A5,F,24,2
RM,A5,F,25,2
RM,A5,F,25,2
RM,A5,F,24,2
RM,A5,F,25,2
RM,A5,F,26,2
RM,A5,F,25,2
RM,A5,F,24,2
RM,A5,F,25,2
RM,A5,F,25,2
RM,A5,M,19,2
RM,A5,F,23,2
RM,A5,F,26,2
RM,A5,F,25,2
RM,A5,M,21,2
RM,A5,F,26,2
RM,A5,F,26,2
RM,A5,M,19,2
RM,A5,F,25,2
RM,A6,F,26,2
RM,A6,F,25,2
RM,A6,F,23,2
RM,A6,F,23,2
RM,A6,F,25,2
RM,A6,F,26,2
RM,A6,F,26,2
RM,A6,M,21,2
RM,A6,F,26,2
RM,A6,F,26,2
RM,A6,F,25,2
RM,A6,F,25,2
RM,A6,F,24,2
RM,A6,F,25,2
RM,A6,F,24,2
RM,A6,F,25,2
RM,A6,F,25,2
RM,A6,F,28,2
RM,A6,F,27,3
RM,A6,F,26,3
RM,A6,F,26,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,23,3
RM,A6,F,25,3
RM,A6,F,22,3
RM,A6,M,21,3
RM,A6,F,26,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,25,3
RM,A6,F,24,3
RM,A6,F,24,3
RM,A6,F,23,3
RM,A6,F,24,3
RM,A6,F,27,3
RM,A6,F,25,3
RM,A6,F,25,3
RM,A6,M,21,3
RM,A6,F,26,3
RM,A6,F,24,3
RM,A6,F,24,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,26,3
RM,A6,F,26,3
RM,A6,F,26,3
RM,A6,F,22,3
RM,A6,F,23,3
RM,A6,F,25,3
RM,A6,F,25,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,25,3
RM,A6,F,25,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,25,3
RM,A6,F,25,3
RM,A6,F,26,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,24,3
RM,A6,F,24,3
RM,A6,F,24,3
RM,A6,F,26,3
RM,A6,F,24,3
RM,A6,F,25,3
RM,A6,F,25,3
RM,A6,F,25,3
RM,A6,F,24,3
RM,A6,M,22,3
RM,A6,F,27,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,20,3
RM,A6,F,27,3
RM,A6,F,26,3
RM,A6,F,24,3
RM,A6,F,24,3
RM,A6,F,25,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,26,3
RM,A6,F,25,3
RM,A6,F,24,3
RM,A9,M,21,31
AM,B10,M,21,62
AM,B10,M,23,62
RM,B11,M,22,64
AM,B12,F,26,14
AM,B12,F,27,14
AM,B12,F,24,14
AM,B12,F,26,14
AM,B12,F,25,14
AM,B12,F,25,14
AM,B12,M,20,14
AM,B12,F,25,14
AM,B12,F,24,14
AM,B12,F,26,14
AM,B12,M,20,14
AM,B12,M,19,14
AM,B12,M,21,14
AM,B12,M,20,14
AM,B12,M,21,14
AM,B12,F,24,14
AM,B12,F,23,14
AM,B12,M,20,14
AM,B12,F,23,14
AM,B12,M,22,14
AM,B12,M,20,14
AM,B12,M,21,14
AM,B12,M,21,14
AM,B12,M,20,14
AM,B12,M,21,14
AM,B12,M,21,14
AM,B12,M,21,14
AM,B12,M,21,14
AM,B12,F,24,14
AM,B12,F,24,14
AM,B12,F,20,14
AM,B12,M,21,14
AM,B12,M,21,14
AM,B12,M,20,14
AM,B12,M,22,14
AM,B12,M,20,14
AM,B12,M,21,14
AM,B12,F,27,14
AM,B12,M,21,14
AM,B12,M,20,14
AM,B12,F,22,14
AM,B12,F,24,14
AM,B12,M,19,14
AM,B12,M,21,14
AM,B12,M,23,14
AM,B12,M,21,14
AM,B12,M,20,14
AM,B12,M,20,14
AM,B12,M,20,14
AM,B12,M,21,14
AM,B12,M,21,14
AM,B12,F,25,14
AM,B12,M,19,14
AM,B12,M,21,14
AM,B12,M,21,14
AM,B12,M,20,14
AM,B12,M,22,14
RM,B13,M,21,7
RM,B13,M,20,7
RM,B13,M,21,7
RM,B14,F,26,5
AM,B15,M,22,33
AM,B15,M,21,33
AM,B15,M,28,33
AP,B16,F,27,5
AP,B16,F,25,5
AP,B16,F,24,5
AP,B16,F,22,5
AP,B16,F,25,5
AP,B16,F,25,5
AP,B16,F,23,5
AP,B16,F,24,5
AP,B16,M,21,5
AP,B16,F,24,5
AP,B16,M,20,5
AP,B16,F,23,5
AP,B16,F,25,5
AP,B16,F,23,5
AP,B16,F,25,5
AP,B16,F,25,5
AM,B16,F,25,5
AM,B16,F,27,5
AM,B16,F,26,5
AM,B16,F,23,5
AM,B16,F,22,5
AM,B16,M,21,5
AM,B16,F,26,5
AM,B16,F,24,5
AM,B16,F,23,5
AM,B16,F,25,5
AM,B16,F,24,5
AM,B16,F,25,5
AM,B16,F,24,5
AM,B16,M,21,5
AM,B16,F,25,5
AM,B16,F,24,5
AM,B16,F,23,5
AM,B16,F,25,5
AM,B16,F,24,5
AM,B16,F,25,5
AM,B16,F,26,5
AM,B16,F,25,5
AM,B16,F,24,5
AM,B16,F,25,5
AM,B16,F,24,5
AM,B16,F,25,5
AM,B16,F,26,5
AM,B16,F,26,5
AM,B16,F,24,5
AM,B16,F,25,5
AM,B16,F,26,5
AM,B16,F,24,5
AM,B16,F,25,5
AM,B16,F,26,5
AM,B16,F,22,5
AM,B16,F,25,5
RM,B16,F,25,5
RM,B16,F,25,5
RM,B16,F,28,5
RM,B16,F,25,5
RM,B16,F,25,5
RM,B16,F,24,5
